INDIC,TAMIL
முகூர்த்தம்,நல்வேளை
முக்கியம்,முகன்மை
முகாம்,பாசறை
மோசம்,கேடு
யந்திரம்,பொறி
யாகம்,வேள்வி
யுத்தம்,போர்
இரகசியம்,"மறைபொருள், கமுக்கம்"
இரதம்,தேர்
இரத்தம்,"குருதி,உதிரம்"
இராகம்,பண்
இராத்திரி,"இரவு,அல்"
"இராச்சியம்,தேசம்",நாடு
இராணுவம்,படை
உருசி,சுவை
வயது,அகவை
"வருடம், வருசம், வருஷம்",ஆண்டு
வாகனம்,ஊர்தி
வாதம்,சொற்போர்
வாத்தியம்,இசைக்கருவி
வார்த்தை,சொல்
வாரம்,கிழமை
வாந்தி பேதி,கக்கல் கழிச்சல்
வாயு,காற்று
வாலிபர்,இளைஞர்
விக்கிரகம்,திருவுருவம்
"விசயம், விஷயம்","பொருள், செய்தி"
விசேஷம்,சிறப்பு
விபத்து,துன்ப நிகழ்ச்சி
விவாகம்,திருமணம்
விரதம்,நோன்பு
விஷம்,நஞ்சு
விஜயம்,பயணம்
வீரம்,மறம்
வீதி,"தெரு, சாலை"
வேகம்,விரைவு
வேதம்,மறை
வைத்தியசாலை,மருத்துவமனை
ஜகாவாங்குதல்,பின்வாங்குதல்
ஜமீன்,நிலம்
ஜமீன்தார்,நிலக்கிழார்
ஜல்லிக்கட்டு,"மஞ்சுவிரட்டு, ஏறு தழுவுதல்"
ஜனனம்,பிறப்பு
ஜன்னல்,சாளரம்
ஜனங்கள்,மக்கள்
ஜயம்,வெற்றி
ஜாக்கிரதையாக,விழிப்பாக
ஜாஸ்தி,மிகுதி
ஜீவன்,உயிர்
ஜென்மம்,பிறவி
ஜோடி,இணை
யாத்திரை,திருச்செலவு
இலட்சணம்,அழகு
ஸ்தாபனம்,"நிறுவனம், நிலையம்"
க்ஷேத்திரங்கள்,திருப்பதிகள்
