INDIC,TAMIL
இயமன்,கூற்றுவன்
இயமன்,காலன்
இயமன்,மறலி
எமன்,கூற்றுவன்
எமன்,காலன்
எமன்,மறலி
இரகசியம்,மறைபொருள்
இரகசியம்,மறை
இரகசியம்,அற்றம்
இரசம்,சாறு
இரசம்,மிளகுநீர்
இரசவாதம்,பொன்னாக்கல்
இரசாபாசம்,அருவருப்பு
இரசாபாசம்,ஒழுங்கின்மை
இரசிகன்,சுவைஞன்
இரசித்தல்,சுவைத்தல்
இரட்சித்தல்,காப்பாற்றல்
இரட்சித்தல்,புரத்தல்
இரட்சித்தல்,ஓம்புதல்
இரணவைத்தியம்,புண்மருத்துவம்
இரணவைத்தியம்,அருவைமருத்துவம்
இரதம்,தேர்
இரத்தம்,குருதி
இரத்தம்,செந்நீர்
இரத்தினம்,மாமணி
இரத்தினம்,செம்மணி
இரம்பம்,ஈர்வாள்
இராகம்,இசை
இராகம்,பண்
இராகம்,அவா
இராஜஶ்ரீ,திரு
இராஜா,அரையன்
இராஜா,மன்னன்
இராஜதானி,அரசர்தலைநகர்
இராசதம்,மனவெழுச்சி
இராசி,ஓரை
இராச்சியம்,அரசியல்
இராச்சியம்,நாடு
இராணுவம்,போர்ப்படை
இராத்திரி,இரவு
இராத்திரி,கங்குல்
இருசால்,இறைப்பணம்
இருசால்,திறை
இருடி,முனிவன்
இருடி,தவசி
இருடி,துறவி
இருதயம்,நெஞ்சம்
இருதயம்,உள்ளம்
இருதயம்,அன்பு
இதயம்,நெஞ்சம்
இதயம்,உள்ளம்
இதயம்,அன்பு
இருது,பருவம்
இருது,மகளிர் முதற் பூப்பு
ருது,பருவம்
ருது,மகளிர் முதற் பூப்பு
இருதுமங்களஸ்நானம்,பூப்பு நன்னீராட்டு
இருதுசாந்தி,பூப்புக் கழிப்பு
இரேகை,வரி
இரேகை,எழுத்து
இரேகை,கையிறை
இரேகை,நிறை
இரேகை,தொடர்
இலகான்,கடிவாளம்
இலகிமா,மென்மை
இலக்கம்,எண்
இலக்கம்,நூறாயிரம்
இலட்சம்,எண்
இலட்சம்,நூறாயிரம்
இலக்குமி,திருமகள்
இலக்குமி,அழகு
இலக்குமி,செல்வம்
இலஞ்சம்,கைக்கூலி
இலஞ்சம்,கையுறை
இலட்சணம்,அழகு
இலட்சணம்,பார்வை
இலட்சியம்,குறிக்கோள்
இலயம்,ஒடுக்கம்
இலயம்,அழிவு
லயம்,ஒடுக்கம்
லயம்,அழிவு
இலவசம்,விலையின்மை
இலவணம்,உப்பு
இலவுகிகம்,உலகியல்
இலவுகிகம்,உலகப்போக்கு
இலாகா,ஆட்சி
இலாகா,எல்லை
இலாகிரி,வெறி
இலாகிரி,மயக்கம்
இலாடம்,காற்பரளை
இலாபம்,ஊதியம்
இலாபம்,மிச்சம்
இலாபம்,பேறு
இலாபநஷ்டம்,கூடுதல் குறைதல்
இலாபநஷ்டம்,ஊதியமும் பொருட்கேடும்
இலாயம்,குதிரைப்பந்தி
இலாவாதேவி,கொடுக்கல் வாங்கல்
இலாவாதேவி,பண்டமாற்று
இலிங்கம்,குறி
இலிங்கம்,அடையாளம்
இலேகியம்,பாகுமருந்து
இலேகியம்,இளகம்
இலேசு,மேலாடை
ஈசன்,தலைவன்
ஈசன்,ஆள்வோன்
ஈசானம்,வடகீழ்ப்பால்
ஈசுரநிச்சயம்,கடவுளுண்மை
ஈடணம்,விருப்பம்
ஈநம்,இழிவு
ஈநம்,குறைபாடு
ஈநம்,குறைவு
உக்கிரம்,கொடுமை
உக்கிரம்,வெப்பம்
உக்கிரம்,சினம்
உக்கிரம்,ஊக்கம்
உக்கிரம்,மிகுதி
உக்கிராணம்,களஞ்சியம்
உக்கிராணம்,சரக்கறை
உசிதம்,உயர்வு
உசிதம்,சிறப்பு
உசிதம்,மேன்மை
உசிதம்,தகுதி
உசிதம்,ஒழுங்கு
உச்சந்தம்,தணிவு
உச்சரிப்பு,எழுத்தோசை
உச்சி,மேடு
உச்சி,முகடு
உஷ்ணம்,வெப்பம்
உஷ்ணம்,சூடு
உதயம்,காலை
உதயம்,விடியல்
உதயம்,பிறப்பு
உதயம்,வெளிப்படல்
உதயம்,தோற்றம்
உதரம்,வயிறு
உதாரம்,வள்ளன்மை
உதாரம்,தண்ணளி
உதாரம்,ஈகைத்தன்மை
உதாரகுணம்,வள்ளன்மை
உதாரகுணம்,தண்ணளி
உதாரகுணம்,ஈகைத்தன்மை
உதாரணம்,எடுத்துக்காட்டு
உதாரணம்,சான்று
உதித்தல்,பிதற்றல்
உதித்தல்,தோன்றுதல்
உதிரம்,செந்நீர்
உதிரம்,குருதி
உத்தமம்,உண்மை
உத்தமம்,மேன்மை
உத்தமி,கற்புடையவள்
உத்தரம்,மறுமொழி
உத்தரவு,கட்டளை
உத்தியோகம்,அலுவல்
உத்தியோகம்,முயற்சி
உத்தியோகம்,தொழில்
உத்தேசம்,கருத்து
உத்தேசம்,மதிப்பு
உத்தேசம்,ஏறக்குறைய
உந்நதம்,உயர்ச்சி
உந்நதம்,மேன்மை
உபகரணம்,கொடுத்தல்
உபகரணம்,உதவிப் பொருள்
உபகரணம்,கருவிப் பொருள்
உபகாரம்,வரவேற்பு
உபகாரம்,முகமன்
உபகாரம்,வேளாண்மை
உபதேசம்,அருண்மொழி
உபதேசம்,அறிவுரை
உபத்தம்,கருவாய்
உபத்திரவம்,இடர்
உபத்திரவம்,இக்கட்டு
உபத்திரவம்,துன்பம்
உபத்திரவம்,வருத்தம்
உபத்திரவம்,தடை
உபநதி,கிளையாறு
உபநயநம்,பூணூற்சடங்கு
உபநயநம்,வழிநடத்துதல்
உபநயநம்,மூக்குக்கண்ணாடி
உபந்நியாசம்,சொற்பொழிவு
உபயோகம்,பயன்
உபவனம்,பூஞ்சோலை
உபாசனை,வழிபாடு
உபாசனை,வணக்கம்
உபாதி,நோய்
உபாதி,துன்பம்
உபாத்தியாயன்,ஆசிரியன்
உபாத்தியாயன்,கற்பிப்போன்
உபாத்தியாயன்,கணக்காயன்
உபாத்தியாயினி,கற்பிப்போள்
உபாத்தியாயினி,ஆசிரியை
உபாயம்,சூழ்ச்சி
உபாயம்,நொய்மை
உபாயம்,எளிது
உபாயம்,சிறிது
உபேட்சை,அசட்டை
உபேட்சை,விருப்பின்மை
உபேட்சை,வெறுப்பு
உயிர்ப்பிராணி,உயிர்ப்பொருள்
உருக்குமணி,பொன்மணி
உருசி,சுவை
உருத்திராக்கம்,சிவமணி
உருத்திராக்கம்,அக்குமணி
உரூபித்தல்,மெய்ப்பித்தல்
உரொக்கம்,கைப்பணம்
உரொக்கம்,இருப்பு
உரொக்கம்,மொத்த இருப்பு
உரோகம்,நோய்
உரோகம்,ஒளியின்மை
உரோமம்,மயிர்
உரோமம்,முடி
உரோமம்,குஞ்சி
உலகப்பிரசித்தி,எங்கும் பரந்த புகழ்
உலோகம்,உலகம்
உலோகம்,வெள்ளி, பொன், செம்பு முதலியன
உலோபம்,ஈயாமை
உலோபம்,இவறன்மை
உலோபம்,கடும்பற்றுள்ளம்
உல்லாசம்,மகிழ்ச்சி
உல்லாசம்,விளையாட்டு
உல்லாசம்,உள்ளக்களிப்பு
உற்சவம்,திருவிழா
உற்சவம்,திருநாள்
ஊகித்தல்,நினைத்தல்
ஊகித்தல்,ஓர்தல்
ஊநம்,குறைவு
ஊநம்,இழிவு
ஊர்ச்சிதம்,உறுதி
ஊர்ச்சிதம்,நிலைப்படுதல்
எக்கியம்,வேள்வி
எசமானன்,தலைவன்
எசமானன்,முதல்வன்
எதார்த்தம்,உறுதி
எதார்த்தம்,உண்மை
எதேச்சை,விருப்பப்படி
எவ்வநம்,இளமை
எவ்வநம்,அழகு
யௌவநம்,இளமை
யௌவநம்,அழகு
ஏகதேசம்,ஒருபால்
ஏகதேசம்,ஒரு புடை
ஏகதேசம்,சிறுபான்மை
ஏகம்,ஒன்று
ஏகம்,தனிமை
ஏகாங்கி,தனியன்
ஏகாங்கி,துறவி
ஏகாதிபத்தியம்,தனியரசாட்சி
ஏகாந்தம்,தனிமை
ஏகாந்தம்,ஒரு முடிவு
ஏடணை,விருப்பம்
ஏதம்,குற்றம்
ஏதம்,துன்பம்
ஏதம்,தீங்கு
ஏது,காரணம்
ஏனம்,பன்றி
ஐக்கியம்,ஒற்றுமை
ஐச்வரியம்,செல்வம்
ஐச்வரியம்,திரு
ஐதிகம்,உலகுரை
ஓமம்,வேள்வி
ஔடதம்,மருந்து
ஔபாசனம்,வேள்வித்தீயோம்புகை
ஔபாசனம்,உணவொழிநோன்பு
ஔபாசனம்,எரியோம்பல்
கங்கணம்,காப்பு
கடகம்,வாள்
கட்சி,பக்கம்
கட்சி,சார்பு
கக்ஷி,பக்கம்
கக்ஷி,சார்பு
கஷாயம்,மருந்துக் குடிநீர்
கடினம்,வன்மை
கடினம்,கடுமை
கடினம்,வருத்தம்
கடினம்,கொடுமை
கடூரம்,கொடுமை
கஷ்டம்,துன்பம்
கஷ்டம்,வருத்தம்
கஷ்டசாத்தியம்,அரிதின்முடிவது
கணபதி,பிள்ளையார்
கணிதம்,கணக்கு
கண்டம்,நிலப்பிரிவு
கண்டம்,பிரிவு
கண்டம்,துண்டு
கண்டம்,கட்டி
கண்டம்,மிடறு
கண்டம்,கழுத்து
கண்டனம்,மறுப்பு
கண்திருஷ்டி,கண்ணேறு
